Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/auth/me,54,0,23,95.48470140132984,12.99412501975894,795.2030000742525,181.0,1.320084833065487,0.0,24,27,31,33,380,680,680,800,800,800,800
GET,GET /api/profiles/me,59,0,18,20.924673753127582,11.170499958097935,89.52899998985231,309.0,1.4423149102011803,0.0,18,21,23,24,30,44,46,90,90,90,90
GET,GET /api/vacancies,87,0,26,27.643609688959845,15.974249923601747,73.79045896232128,30955.0,2.1268033421610624,0.0,26,31,33,34,40,42,45,74,74,74,74
GET,GET /health,118,0,4,5.055838663099428,1.3890409609302878,53.43220802024007,57.0,2.8846298204023606,0.0,4,5,6,6,8,10,15,18,53,53,53
POST,POST /api/auth/login,20,0,530,621.0957772040274,405.5469580926001,915.6077090883628,356.0,0.48892030854277296,0.0,790,800,800,800,850,920,920,920,920,920,920
POST,POST /api/auth/register (setup),20,0,34,38.788597827078775,26.90220798831433,94.09641695674509,37.0,0.48892030854277296,0.0,34,35,36,43,88,94,94,94,94,94,94
,Aggregated,358,0,18,63.1005590304852,1.3890409609302878,915.6077090883628,7641.553072625698,8.751673522915636,0.0,18,25,29,32,46,420,800,800,920,920,920
