Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/auth/me,93,93,6,7.206919823362623,1.8387921154499054,35.638249944895506,47.41935483870968,1.790485950822954,1.790485950822954,6,6,6,7,17,21,25,36,36,36,36
GET,GET /api/profiles/me,79,79,6,6.950353370991217,1.5359169337898493,30.391165986657143,47.46835443037975,1.5209504313442297,1.5209504313442297,6,6,7,7,14,20,27,30,30,30,30
GET,GET /api/vacancies,119,96,6,9.894497528233948,1.3704169541597366,70.45750005636364,6761.361344537815,2.291051915569156,1.8482435621398234,6,7,7,12,28,33,40,47,70,70,70
GET,GET /health,142,123,5,4.909103635442771,1.417041989043355,11.233750032261014,50.936619718309856,2.7338602689984888,2.368062063991649,5,6,6,6,7,7,9,9,11,11,11
POST,POST /api/auth/login,20,20,37,42.69259785651229,24.282791069708765,113.45404095482081,32.0,0.3850507421124632,0.3850507421124632,38,40,42,42,110,110,110,110,110,110,110
,Aggregated,453,411,6,8.714594567558475,1.3704169541597366,113.45404095482081,1811.5562913907286,8.721399308847293,7.912792750411119,6,6,7,7,21,32,40,42,110,110,110
