Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/auth/me,725,725,4,5.393692409009512,1.0536250192672014,353.24612504336983,49.47586206896552,7.222827999433104,7.222827999433104,4,5,6,6,7,8,19,25,350,350,350
GET,GET /api/profiles/me,762,762,4,5.376312071689725,1.0492909932509065,110.2185829076916,49.39632545931759,7.591441290438655,7.591441290438655,4,5,6,6,7,9,20,37,110,110,110
GET,GET /api/vacancies,1178,1133,4,6.775843748405373,1.0569579899311066,377.32758303172886,1376.4685908319186,11.735850183906477,11.2875367218727,4,5,6,6,7,10,31,64,380,380,380
GET,GET /health,1542,1491,4,5.196001169367799,1.0379159357398748,312.7081251004711,50.231517509727624,15.362207965690821,14.854119375385872,4,5,5,6,6,7,10,22,310,310,310
POST,POST /api/auth/login,100,100,17,82.8108616604004,6.129665998741984,302.13158298283815,42.8,0.996252137852842,0.996252137852842,17,130,140,180,290,300,300,300,300,300,300
,Aggregated,4307,4211,4,7.495342628276337,1.0379159357398748,377.32758303172886,412.5207801253773,42.9085795773219,41.95217752498317,4,5,6,6,7,11,31,130,310,380,380
